Handle,Username,Full_Name,Category,Instagram_URL,Bio,Follower_Count,Following_Count,Post_Count,Profile_Photo_URL,Latest_Post_Thumbnail,Is_Verified,Is_Private,Data_Extraction_Date,Extraction_Method
@pewdiepie,pewdiepie,PewDiePie,Gaming,https://www.instagram.com/pewdiepie/,Gamer;Subscribe to my newsletter with @itsmarziapie,20400000,1,788,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-19/242272036_154655546832648_488414337999300749_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QES7Vg4u84yG56lVJ82TR1TAXksu2wY1kwSAHjXkyKJ9jK0lNKMOVEKJBCB-qAp1Fu1kiLbA8B1wm3hyKzjc1_d&_nc_ohc=PIHI3DV5cRkQ7kNvwFP88Z5&_nc_gid=y6M_g89LJcLz5vUP7Hhijg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfQ20sSwXuYH9nHxo4utzIFUzU68OYljqwDhMzx0BBm2zQ&oe=6872E081&_nc_sid=8b3546,https://scontent-bom2-2.cdninstagram.com/v/t51.2885-15/496970997_18525842539002899_9032956493342367048_n.webp?stp=dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-bom2-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QES7Vg4u84yG56lVJ82TR1TAXksu2wY1kwSAHjXkyKJ9jK0lNKMOVEKJBCB-qAp1Fu1kiLbA8B1wm3hyKzjc1_d&_nc_ohc=QCmVXBAMvl4Q7kNvwHwpR8H&_nc_gid=y6M_g89LJcLz5vUP7Hhijg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfSlEpb6LLEEhnM6FqVMY3k_bUwab8XPM_DsgIfFmmp8UA&oe=68730AAF&_nc_sid=8b3546,TRUE,FALSE,08-07-2025,Browser Automation + Manual
@jonathankmonroe,jonathankmonroe,Jonathan Monroe,Lifestyle,https://www.instagram.com/jonathankmonroe/,Health/beauty;HAIR | BEAUTY | FOR ALL;Biz ??: JonathanKMonroe@Hotmail.com,1500000,467,409,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-19/454726887_1010103520652854_1386966556917349411_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QFaBRS7xKaJxgvSAL8WuKzwuKC0Sx7yNYN44y3DMeNhwTt30TecT1005LWu9CsrN7ea0NIPNn53em8iz0ZXj4hk&_nc_ohc=43gmn7N37MIQ7kNvwGUOnP0&_nc_gid=Ym4301ehY22IXqAY2LweXg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfTBEaNPKLgMFHYgpSrkeNQhkxWAuE0dFiKiJfH3yNYQIg&oe=6872E60F&_nc_sid=8b3546,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-15/514725194_1540504650666058_4997109353536447285_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFaBRS7xKaJxgvSAL8WuKzwuKC0Sx7yNYN44y3DMeNhwTt30TecT1005LWu9CsrN7ea0NIPNn53em8iz0ZXj4hk&_nc_ohc=CBk7pDv_4s0Q7kNvwHs2rL9&_nc_gid=Ym4301ehY22IXqAY2LweXg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfS5QRF7k6vilSZuqyVS2rMBNGJZie4vWeWXz2QWf1VSDQ&oe=6872F27E&_nc_sid=8b3546,TRUE,FALSE,08-07-2025,Browser Automation + Manual
@cassyeungmoney,cassyeungmoney,Cassie Yeung,Lifestyle,https://www.instagram.com/cassyeungmoney/,Digital creator;Bad b*tch in the kitch ??;I cook on TikTok;??Business inquiries: L.Davis@caa.com;CHEFS KISS????,844000,1362,453,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-19/496006565_18502475173038307_5880679433606282476_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QGG9EYYYVqdsSPTTppo5WCqzsd23nS_laSZrqwxCw4sWz5sBx9gWOpN4GX4OnTfHUjaC-m9YDK4Q0ZQW5UykpV-&_nc_ohc=dszJpuTl_1UQ7kNvwF4VkiI&_nc_gid=bYplWtRhtFxFlAIM3kKggQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfQrcx5UviOJ5TDlnH4NrEXn7IINOA9GBTZVJEUTvN0WNQ&oe=6872E6AA&_nc_sid=8b3546,https://scontent-bom2-2.cdninstagram.com/v/t51.2885-15/510940277_1403354581101059_6330451085711369292_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-bom2-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGG9EYYYVqdsSPTTppo5WCqzsd23nS_laSZrqwxCw4sWz5sBx9gWOpN4GX4OnTfHUjaC-m9YDK4Q0ZQW5UykpV-&_nc_ohc=dIUlR1xaAXUQ7kNvwG97842&_nc_gid=bYplWtRhtFxFlAIM3kKggQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfQrkszEyAG6cgLBAAQjKdEDKc5vd4Yai8YdKksR1Q_2rw&oe=6872EE40&_nc_sid=8b3546,TRUE,FALSE,08-07-2025,Browser Automation + Manual
@kacierose_,kacierose_,Kacie Rose,Lifestyle,https://www.instagram.com/kacierose_/,"American girl in Italy ????????;Sharing smiles, travel tips, & life abroad ????;NYT Bestseller: You Deserve Good Gelato;2026 GROUP TOURS! ??",665000,1494,1346,https://scontent-bom2-2.cdninstagram.com/v/t51.2885-19/269721321_910534519624043_7864059102830733390_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_ht=scontent-bom2-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEk9ane0EbHVFve76RGksLqX665mz3AuhcJHo69qTVtg3Fy63Pu7FlfPvRIUaKSC01Icq5ZytffM0CoFRSn0DXq&_nc_ohc=EbPuU-1zyaUQ7kNvwExp8vW&_nc_gid=dTZkyvrLpdrwYOJwNqUGOA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfS4FYcMEGTuC6hyP92eJuvA1bYgqHq6efCETFuUpLd3Pw&oe=68730F15&_nc_sid=8b3546,https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/499680522_1939418229797676_5453796436619020972_n.jpg?stp=dst-jpg_e15_p640x640_tt6&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QEk9ane0EbHVFve76RGksLqX665mz3AuhcJHo69qTVtg3Fy63Pu7FlfPvRIUaKSC01Icq5ZytffM0CoFRSn0DXq&_nc_ohc=-nVbVscuQAoQ7kNvwHaYAkl&_nc_gid=dTZkyvrLpdrwYOJwNqUGOA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfRST1ZFdCTE62dO-H0hObMV2GR6xah3QCbOFs5fo_veow&oe=68730AFF&_nc_sid=8b3546,TRUE,FALSE,08-07-2025,Browser Automation + Manual
@soheefit,soheefit,"Sohee Carpenter, PhDc, CSCS,*D",Fitness,https://www.instagram.com/soheefit/,Realistic health and fitness ??????@eltmethod coaching??@pescience @runna soheefit,663000,446,3955,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-19/513411975_18513800452017999_7976114530810439257_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QHpCY5EUbHhZqaV74sAdDDFAkrYHTfwL84MayTDwUfuIecW8xqXjNAPnjQ7WbWNAottJ-jR4OLmDPewWV4ZvU4w&_nc_ohc=Q3pbd66bNvQQ7kNvwHJ0gBb&_nc_gid=sbfzNPJnXhHS9l2hy2KjYg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfQmBv27TSwhllipiQwevhTYud4IY0h4NqUKrKYL_yx9Sg&oe=6872F7BD&_nc_sid=8b3546,https://scontent-bom2-3.cdninstagram.com/v/t39.30808-6/386072304_18389667502017999_1697939472793603059_n.jpg?stp=dst-jpg_e35_p640x640_sh0.08_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QHpCY5EUbHhZqaV74sAdDDFAkrYHTfwL84MayTDwUfuIecW8xqXjNAPnjQ7WbWNAottJ-jR4OLmDPewWV4ZvU4w&_nc_ohc=qu9bg38SeLEQ7kNvwECSFF6&_nc_gid=sbfzNPJnXhHS9l2hy2KjYg&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfSIo-F2_vw9do0tLQ7yvL_-ciMsUj4JagcmMr8pSUJatQ&oe=687309AE&_nc_sid=8b3546,TRUE,FALSE,08-07-2025,Browser Automation + Manual
@tiffintech,tiffintech,Tiffany Janzen,Tech,https://www.instagram.com/tiffintech/,"Tech consultant | Breaking down AI, robotics & code?? 60-sec explainers & big interviews??Host of Talk Tech with Tiff??partnerships@tiffintech.com",649000,555,3696,https://scontent-bom2-4.cdninstagram.com/v/t51.2885-19/271548751_597726361323258_7080884385408893423_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_ht=scontent-bom2-4.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QGC6e9OezNlOTD5vZG19DBiNZYlU2UxtA4vBhqEpIjs059111hxG-3WUjjt6_T_UdKto5wN17Zd5W-Pb3btoHR7&_nc_ohc=qaXf7wz8SnwQ7kNvwERDMk8&_nc_gid=9fo-ObbsNRz1BIN0qB6Fsw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfRP1-neCmW8d23vnntLODFg8KFRGiXNnggslwKv5Chhvw&oe=687314D6&_nc_sid=8b3546,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-15/500660535_18458424880076451_8083977064167015863_n.jpg?stp=dst-jpg_e35_p640x640_sh0.08_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QGC6e9OezNlOTD5vZG19DBiNZYlU2UxtA4vBhqEpIjs059111hxG-3WUjjt6_T_UdKto5wN17Zd5W-Pb3btoHR7&_nc_ohc=VU0IEuD50KYQ7kNvwEjq93D&_nc_gid=9fo-ObbsNRz1BIN0qB6Fsw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfTVT4awT9p72QB6wfAu1NphyF4pV6l8SOY6p7Tr52hZNQ&oe=6873107A&_nc_sid=8b3546,TRUE,FALSE,08-07-2025,Browser Automation + Manual
@bentaylortech,bentaylortech,Ben Taylor,Tech,https://www.instagram.com/bentaylortech/,"Digital creator???????tech, ?? home & ?? lifestylefounder @thewestwillow ???? team@bentaylormedia.comShop my Amazon & LTK ??beacons.ai/bentaylormedia",601000,192,458,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-19/394717079_697042132059302_7577621762095746867_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QGjRSaD8lt-yXmaQIr033JYkwQWC7brbhCUR5QiEHpft8Pb6I4DYUHP_R-GsmZRg8cfKdG9jDlDDjUfFkIGrwlB&_nc_ohc=QxdraPE7uw4Q7kNvwHK-m1g&_nc_gid=0rRjOwt8LTb0xtu9HWeyPQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfSIKSRjG-8j0sk6d_OnhBp0sxI5yavnjvgrjVbofX8K_Q&oe=6872E840&_nc_sid=8b3546,https://scontent-bom1-1.cdninstagram.com/v/t51.2885-15/463949575_17896573434081148_7306715789972586061_n.jpg?stp=dst-jpg_e35_p640x640_sh0.08_tt6&_nc_ht=scontent-bom1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGjRSaD8lt-yXmaQIr033JYkwQWC7brbhCUR5QiEHpft8Pb6I4DYUHP_R-GsmZRg8cfKdG9jDlDDjUfFkIGrwlB&_nc_ohc=a-ru5Ae8gNgQ7kNvwFs01vE&_nc_gid=0rRjOwt8LTb0xtu9HWeyPQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfRTcqtXUS8LLMQv2oCHVajsJYflNns3bYgu3u_n111W3g&oe=687301E3&_nc_sid=8b3546,TRUE,FALSE,08-07-2025,Browser Automation + Manual
@christieathome,christieathome,Christie Lai,Food,https://www.instagram.com/christieathome/,Quick & Easy Asian Recipes ?? Tag me in your recreations!Recipes Linked Below ?linktr.ee/christieathome,575000,92,435,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-19/260951195_325756855686934_7665027191360890623_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFSkzdzjAjXs5RnSJM2SjoGiP7Q3MZL7hjK3g9nQzxsCALziw5r8r-M0aV73adhd5lodCX5qzMnoLFh-Kj5GMYX&_nc_ohc=hYTlcFi47-gQ7kNvwGBr5UP&_nc_gid=CS9jS5xlBpl3duDw-cZZNQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfTHUztrQ_s2tCQt0oU6ioZQDBCBL-gXLYtIe4f7h39lPg&oe=68730E03&_nc_sid=8b3546,https://scontent-bom1-2.cdninstagram.com/v/t51.2885-15/500454592_1882286329225761_2680667925559464703_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-bom1-2.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QFSkzdzjAjXs5RnSJM2SjoGiP7Q3MZL7hjK3g9nQzxsCALziw5r8r-M0aV73adhd5lodCX5qzMnoLFh-Kj5GMYX&_nc_ohc=tj-26LNS1NYQ7kNvwGpw0DL&_nc_gid=CS9jS5xlBpl3duDw-cZZNQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfT866A1_DSztNwDDSlQvXFM2lpqwEa62DeTxoiz803ThQ&oe=6872EFAA&_nc_sid=8b3546,TRUE,FALSE,08-07-2025,Browser Automation + Manual
@nom_life,nom_life,Ewa & Jeromy Ko,Food,https://www.instagram.com/nom_life/,Digital creator;restaurant kids at ? in nyc ????????;james beard nominated ?? production by @a1swagyu.;rep: @makercollaborative;??: contact.nomlife@gmail.com,527000,993,2314,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-19/243487785_4363899726997887_162804713916764891_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QGZNAezD6ZOcjA5W3MePm1G4E1T3X2SL2C2_qIR-SkmXLg7rcbW-keqw1WjPxVrRxyYMxwnmmzfH-3JI3CiuDh2&_nc_ohc=V_sox6baQPIQ7kNvwH5ez-E&_nc_gid=OZEbrM-TPCGujzUfhwf4LQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfRayvI1KT0J-KmSOumH5-9FU65s1b5MdY6PxpJF4jwjhA&oe=68730B0F&_nc_sid=8b3546,https://scontent-bom2-1.cdninstagram.com/v/t51.2885-15/491469913_1741770369796868_5375159760272191333_n.jpg?stp=dst-jpg_e15_p640x640_tt6&_nc_ht=scontent-bom2-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QGZNAezD6ZOcjA5W3MePm1G4E1T3X2SL2C2_qIR-SkmXLg7rcbW-keqw1WjPxVrRxyYMxwnmmzfH-3JI3CiuDh2&_nc_ohc=KhjBr1_Xh3UQ7kNvwHNwjQf&_nc_gid=OZEbrM-TPCGujzUfhwf4LQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfRndgUx8I3X-MC5D1cO1KiAfQOBbbUUF9x-5dwE-T4Riw&oe=6872E73B&_nc_sid=8b3546,TRUE,FALSE,08-07-2025,Browser Automation + Manual
@linnygd,linnygd,Linasha | Dark Skin Makeup,Beauty,https://www.instagram.com/linnygd/,?? ???????? ???????? ???????????????????????? ???????? ?? linasha@pavecreators.co.uk,169000,1009,734,https://scontent-bom2-3.cdninstagram.com/v/t51.2885-19/408881937_1325601381461271_6884993383754159433_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_ht=scontent-bom2-3.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QFEbu1w_6jQcCOUbHYMqS0lr8s5O-5DktOzRuEC-8l5QdbvHOgLWpL2-p5tgAd4CUPhGsUn7G-71ViGp56_vygm&_nc_ohc=gKit4s5WSuwQ7kNvwHrvQF2&_nc_gid=zlg9kd0GG-oZ8M_anNJ-lw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfRJSlQMeC8rpXzTJHDbmg4RTgzjPIpA_hHzb0C7WiGZpA&oe=68730E65&_nc_sid=8b3546,https://scontent-bom2-1.cdninstagram.com/v/t51.2885-15/496096951_1694885934755561_7796531356910227479_n.jpg?stp=dst-jpg_e15_p640x640_tt6&_nc_ht=scontent-bom2-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QFEbu1w_6jQcCOUbHYMqS0lr8s5O-5DktOzRuEC-8l5QdbvHOgLWpL2-p5tgAd4CUPhGsUn7G-71ViGp56_vygm&_nc_ohc=qXtZO6rxp70Q7kNvwEMuU1H&_nc_gid=zlg9kd0GG-oZ8M_anNJ-lw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfRDXvxaQh6bzqzeN_5DaBgkvs-_xSLAwoZ98-e1S-gCsw&oe=6872E42C&_nc_sid=8b3546,TRUE,FALSE,08-07-2025,Browser Automation + Manual
